interaction_id,campaign_id,customer_id,interaction_datetime,event_type,platform,device_type,ad_cost,order_id,is_new_customer,revenue,session_id
1a3a6dcc-204b-48cf-aa60-4b3b1c9674dc,CMP006,CUST0017,2024-06-08 00:31:00,impression,google,ios,35.02,ORD441906,true,388.18,SESSION495454
9d938507-eac4-44f1-b110-f8d6331537a4,CMP003,CUST0341,2024-04-24 13:49:00,impression,google,ios,48.44,ORD429960,true,122.06,SESSION410931
9c4185b6-d4aa-43ec-bc62-abccb5b22195,CMP007,CUST0163,2024-03-01 03:44:00,conversion,google,web,17.18,ORD415790,true,780.75,SESSION703208
4b53d887-e6cf-481a-adc0-a61913410268,CMP012,CUST0389,2024-07-25 16:47:00,conversion,google,web,13.86,ORD453822,false,763.15,SESSION658824
d133cdd2-6707-4f41-974f-d4e9f1bbd7aa,CMP016,CUST0019,2024-07-02 06:59:00,impression,google,ios,10.26,ORD447795,false,489.69,SESSION264332
a4b36fcf-cd6d-4c00-8d14-cb9d74092a15,CMP007,CUST0468,2024-08-30 15:02:00,impression,facebook,android,48.39,ORD462884,false,557.44,SESSION966966
b5599d42-a391-48d1-bed8-28286eeb702c,CMP013,CUST0337,2024-10-01 20:20:00,click,google,android,15.24,ORD471352,false,676.17,SESSION278021
9fe3e922-23d0-45bb-a821-fc4e9dfc0788,CMP003,CUST0463,2024-08-04 19:25:00,impression,tiktok,web,6.08,ORD456585,true,735.56,SESSION398124
27c8e329-6ba7-4e75-a5f2-2bf58b3434cd,CMP016,CUST0446,2024-07-04 23:48:00,click,google,ios,4.29,ORD448699,true,407.8,SESSION789735
8ec35655-4d93-4c54-a3c5-613e7908da7b,CMP017,CUST0141,2024-11-30 09:39:00,impression,google,ios,10.2,ORD486790,true,287.84,SESSION567186
5cdd153e-fa21-41e9-bc27-20509607f833,CMP004,CUST0168,2024-04-16 08:57:00,impression,google,android,44.34,ORD428329,true,238.7,SESSION321155
f42e0af5-e828-4678-b23b-b01bff770f09,CMP005,CUST0216,2024-01-04 22:47:00,click,google,android,9.4,ORD401123,true,424.62,SESSION275283
1aee7335-147e-4114-9f59-183bcf253121,CMP008,CUST0418,2024-10-23 03:22:00,conversion,google,web,41.72,ORD476802,true,664.13,SESSION589736
d4f9c362-ff5c-49ee-b0ae-e3d7175cb24d,CMP012,CUST0342,2024-07-03 19:54:00,impression,facebook,ios,11.3,ORD448083,false,238.23,SESSION804361
6094e5de-6c8e-49f7-8e4a-b113132dbaf0,CMP016,CUST0043,2024-04-16 12:36:00,conversion,google,android,5.71,ORD428377,true,588.35,SESSION597127
9262c6f2-c992-4804-9323-d80e34893960,CMP007,CUST0072,2024-08-04 10:04:00,click,tiktok,android,12.9,ORD456429,true,749.64,SESSION982950
9ab55381-f9e0-47a0-91c7-61e555e5f0fb,CMP002,CUST0038,2024-02-29 01:27:00,conversion,google,android,29.5,ORD415559,true,785.0,SESSION387369
aaac5f50-39d9-4e93-b2fb-10cdb5e7e916,CMP009,CUST0330,2024-04-07 11:41:00,conversion,google,web,49.99,ORD425845,false,255.52,SESSION629904
285e2a39-19a1-4d24-94d3-49e1e964a10d,CMP017,CUST0152,2024-08-14 07:35:00,conversion,facebook,web,8.9,ORD459248,true,490.39,SESSION431316
2a586d3a-3ae3-4c35-b323-cd6d7a1da4e2,CMP010,CUST0477,2024-08-21 21:35:00,conversion,facebook,ios,15.08,ORD460837,false,222.66,SESSION518400
5255fbad-a162-4b5b-96de-72a90a4770ce,CMP005,CUST0123,2024-05-26 01:54:00,click,facebook,android,33.17,ORD438338,false,346.15,SESSION224823
385c92e2-7303-4e0d-9085-c54941826fe8,CMP010,CUST0015,2024-03-30 23:37:00,click,facebook,android,21.19,ORD423323,true,629.76,SESSION758791
205f8dd8-47c4-4869-8142-b2791369e604,CMP012,CUST0386,2024-06-18 04:43:00,conversion,tiktok,ios,17.25,ORD444570,false,268.4,SESSION629355
a487fa2c-39eb-4b8b-8c76-30036e724d3f,CMP019,CUST0249,2024-10-29 14:14:00,click,tiktok,ios,3.48,ORD478408,false,372.43,SESSION645736
a3a5ca76-6562-499e-8bf9-479e0ddc7636,CMP001,CUST0428,2024-08-22 21:18:00,conversion,facebook,ios,34.56,ORD461173,true,434.95,SESSION414323
30714c8f-b8fc-4db9-a672-2304188e4d49,CMP014,CUST0139,2024-01-08 16:48:00,click,facebook,web,9.74,ORD402285,true,281.99,SESSION401773
392b8ecf-1304-4d17-a7a6-f36759491df9,CMP003,CUST0233,2024-12-21 18:29:00,impression,tiktok,web,32.88,ORD492183,true,580.51,SESSION756192
2702a77d-c8c3-47cd-8876-231613c1eadd,CMP013,CUST0046,2024-10-23 23:40:00,conversion,google,web,24.71,ORD477086,false,239.13,SESSION365131
232cf63b-411c-4a40-b6d7-2a6c384af6dd,CMP008,CUST0224,2024-02-12 21:50:00,click,facebook,web,43.2,ORD411451,false,717.65,SESSION217399
cdf321e3-7bb1-46ac-873a-c66c47f5e073,CMP017,CUST0273,2024-02-18 09:11:00,click,google,android,30.3,ORD413145,true,101.24,SESSION730999
ec198ef1-fe52-43c4-8298-72cbb4478367,CMP001,CUST0015,2024-07-03 00:11:00,click,facebook,ios,46.5,ORD448308,false,732.04,SESSION806390
586583cd-7d03-4b2f-bad8-b7a225c113ae,CMP019,CUST0414,2024-03-22 03:05:00,click,facebook,android,36.42,ORD421591,true,197.87,SESSION705741
acdb5616-495b-4417-be37-d2ff836e1b74,CMP006,CUST0010,2024-02-02 02:53:00,impression,google,android,12.09,ORD408540,false,673.0,SESSION174746
1ddab63b-5557-4268-bf88-acf76e9daa06,CMP003,CUST0264,2024-02-27 22:35:00,impression,facebook,ios,37.85,ORD415041,true,463.61,SESSION418931
dde198b1-7742-4eb8-8e9b-17d42cba4f86,CMP008,CUST0382,2024-02-29 15:10:00,click,google,ios,47.37,ORD415631,false,700.26,SESSION832071
4d194f50-7b43-4b45-99f5-282417c09586,CMP014,CUST0289,2024-05-29 22:46:00,conversion,facebook,android,39.43,ORD439034,false,481.73,SESSION963640
a5e56f40-ccd0-45f7-ac00-7198e4541404,CMP017,CUST0388,2024-10-20 04:40:00,impression,google,android,49.19,ORD476270,true,607.55,SESSION901935
99653f75-b3dc-4ac3-854e-354ff380771f,CMP011,CUST0051,2024-03-17 08:51:00,click,google,android,37.61,ORD420510,false,747.84,SESSION826775
6d7a7133-cf60-4aaa-b853-fe61b4ea5ef5,CMP017,CUST0139,2024-11-25 21:34:00,click,tiktok,android,8.33,ORD485556,false,792.36,SESSION303659
