session_id,customer_id,session_start,session_end,device_type,os_version,app_version,location
SESS000001,CUST0139,2024-01-04 00:13:00,2024-01-04 00:33:00,web,13.2,2.0.1,Hat Yai
SESS000002,CUST0139,2024-02-27 05:01:00,2024-02-27 05:06:00,web,13.2,1.0.0,Khon Kaen
SESS000003,CUST0139,2024-07-30 19:58:00,2024-07-30 20:11:00,web,14.1,1.0.0,Chiang Mai
SESS000004,CUST0139,2024-06-28 10:56:00,2024-06-28 11:02:00,ios,13.2,2.0.1,Chiang Mai
SESS000005,CUST0139,2024-06-19 13:55:00,2024-06-19 14:09:00,web,13.2,1.0.0,Phuket
SESS000006,CUST0139,2024-05-23 08:35:00,2024-05-23 08:48:00,web,16.3,1.0.0,Hat Yai
SESS000007,CUST0139,2024-10-14 01:17:00,2024-10-14 01:22:00,web,12.4,2.0.1,Bangkok
SESS000008,CUST0139,2024-03-20 10:19:00,2024-03-20 10:27:00,web,16.3,2.0.1,Hat Yai
SESS000009,CUST0139,2024-06-27 04:11:00,2024-06-27 04:18:00,ios,16.3,2.0.1,Hat Yai
SESS000010,CUST0139,2024-02-28 13:29:00,2024-02-28 13:38:00,ios,12.4,1.0.0,Hat Yai
SESS000011,CUST0109,2024-08-03 09:31:00,2024-08-03 09:45:00,ios,12.4,2.0.1,Hat Yai
SESS000012,CUST0109,2024-09-28 13:02:00,2024-09-28 13:11:00,android,12.4,1.0.0,Khon Kaen
SESS000013,CUST0109,2024-01-02 17:22:00,2024-01-02 17:41:00,android,12.4,1.0.0,Phuket
SESS000014,CUST0109,2024-11-04 19:56:00,2024-11-04 20:11:00,web,12.4,2.0.1,Bangkok
SESS000015,CUST0109,2024-10-23 13:15:00,2024-10-23 13:34:00,web,16.3,1.0.0,Phuket
SESS000016,CUST0109,2024-01-25 18:39:00,2024-01-25 18:48:00,ios,16.3,2.0.1,Bangkok
SESS000017,CUST0109,2024-05-26 17:51:00,2024-05-26 17:55:00,android,12.4,1.0.0,Phuket
SESS000018,CUST0109,2024-06-24 11:57:00,2024-06-24 12:16:00,android,12.4,1.2.3,Phuket
SESS000019,CUST0001,2024-11-23 07:58:00,2024-11-23 08:10:00,web,12.4,2.0.1,Bangkok
SESS000020,CUST0001,2024-06-08 05:53:00,2024-06-08 05:55:00,android,14.1,2.0.1,Khon Kaen
SESS000021,CUST0001,2024-03-14 19:30:00,2024-03-14 19:39:00,web,14.1,1.0.0,Hat Yai
SESS000022,CUST0001,2024-10-12 07:48:00,2024-10-12 07:59:00,android,12.4,1.2.3,Khon Kaen
