log_id,ticket_id,status,status_datetime,agent_id
1,TKT100000,opened,2024-10-04 16:38:00,AGT071
2,TKT100000,resolved,2024-10-04 18:44:00,AGT071
3,TKT100001,opened,2024-08-07 23:35:00,AGT036
4,TKT100001,resolved,2024-08-08 00:41:00,AGT036
5,TKT100002,opened,2024-10-14 06:39:00,AGT041
6,TKT100002,resolved,2024-10-14 07:34:00,AGT041
7,TKT100003,opened,2024-08-07 14:06:00,AGT081
8,TKT100003,resolved,2024-08-07 15:24:00,AGT081
9,TKT100004,opened,2024-02-03 08:59:00,AGT051
10,TKT100004,resolved,2024-02-03 11:59:00,AGT051
11,TKT100005,opened,2024-03-13 14:41:00,AGT034
12,TKT100005,resolved,2024-03-13 16:12:00,AGT034
13,TKT100006,opened,2024-01-22 02:16:00,AGT060
14,TKT100006,resolved,2024-01-22 04:16:00,AGT060
15,TKT100007,opened,2024-08-14 22:17:00,AGT079
16,TKT100007,resolved,2024-08-15 01:00:00,AGT079
17,TKT100008,opened,2024-02-14 01:09:00,AGT094
18,TKT100008,resolved,2024-02-14 04:03:00,AGT094
19,TKT100009,opened,2024-01-04 01:36:00,AGT026
20,TKT100009,resolved,2024-01-04 03:03:00,AGT026
21,TKT100010,opened,2024-08-12 07:29:00,AGT044
22,TKT100010,resolved,2024-08-12 08:10:00,AGT044
23,TKT100011,opened,2024-01-19 22:31:00,AGT018
24,TKT100011,resolved,2024-01-20 01:21:00,AGT018
25,TKT100012,opened,2024-10-10 22:35:00,AGT099
26,TKT100012,resolved,2024-10-11 00:42:00,AGT099
27,TKT100013,opened,2024-10-23 19:40:00,AGT065
28,TKT100013,resolved,2024-10-23 21:19:00,AGT065
29,TKT100014,opened,2024-07-01 23:32:00,AGT041
30,TKT100014,resolved,2024-07-02 00:16:00,AGT041
31,TKT100015,opened,2024-02-21 18:49:00,AGT042
32,TKT100015,resolved,2024-02-21 21:29:00,AGT042
33,TKT100016,opened,2024-02-17 04:57:00,AGT047
34,TKT100016,resolved,2024-02-17 06:33:00,AGT047
35,TKT100017,opened,2024-02-09 11:40:00,AGT091
36,TKT100017,resolved,2024-02-09 13:13:00,AGT091
37,TKT100018,opened,2024-09-20 13:34:00,AGT072
38,TKT100018,resolved,2024-09-20 14:11:00,AGT072
39,TKT100019,opened,2024-06-24 20:54:00,AGT068
40,TKT100019,resolved,2024-06-24 21:33:00,AGT068
41,TKT100020,opened,2024-07-07 02:42:00,AGT035
42,TKT100020,resolved,2024-07-07 02:52:00,AGT035
43,TKT100021,opened,2024-10-11 14:33:00,AGT003
44,TKT100021,resolved,2024-10-11 16:03:00,AGT003
45,TKT100022,opened,2024-06-18 21:47:00,AGT058
46,TKT100022,resolved,2024-06-18 23:54:00,AGT058
47,TKT100023,opened,2024-10-01 23:53:00,AGT089
48,TKT100023,resolved,2024-10-02 02:29:00,AGT089
49,TKT100024,opened,2024-11-26 21:31:00,AGT093
50,TKT100024,resolved,2024-11-26 22:02:00,AGT093
51,TKT100025,opened,2024-12-19 20:01:00,AGT026
52,TKT100025,resolved,2024-12-19 20:21:00,AGT026
53,TKT100026,opened,2024-01-22 21:49:00,AGT043
54,TKT100026,resolved,2024-01-22 23:55:00,AGT043
55,TKT100027,opened,2024-01-31 22:33:00,AGT090
56,TKT100027,resolved,2024-01-31 23:46:00,AGT090
57,TKT100028,opened,2024-06-06 23:17:00,AGT081
58,TKT100028,resolved,2024-06-07 00:34:00,AGT081
59,TKT100029,opened,2024-04-06 04:53:00,AGT056
60,TKT100029,resolved,2024-04-06 06:18:00,AGT056
61,TKT100030,opened,2024-06-13 22:21:00,AGT029
62,TKT100030,resolved,2024-06-14 00:05:00,AGT029
63,TKT100031,opened,2024-10-09 02:37:00,AGT010
64,TKT100031,resolved,2024-10-09 03:57:00,AGT010
65,TKT100032,opened,2024-12-05 06:02:00,AGT077
66,TKT100032,resolved,2024-12-05 07:47:00,AGT077
67,TKT100033,opened,2024-01-12 20:30:00,AGT076
68,TKT100033,resolved,2024-01-12 21:22:00,AGT076
69,TKT100034,opened,2024-08-07 16:25:00,AGT084
70,TKT100034,resolved,2024-08-07 19:00:00,AGT084
71,TKT100035,opened,2024-03-09 13:03:00,AGT046
72,TKT100035,resolved,2024-03-09 14:29:00,AGT046
73,TKT100036,opened,2024-02-04 19:12:00,AGT013
74,TKT100036,resolved,2024-02-04 19:39:00,AGT013
75,TKT100037,opened,2024-12-12 06:07:00,AGT050
76,TKT100037,resolved,2024-12-12 07:01:00,AGT050
77,TKT100038,opened,2024-03-20 18:15:00,AGT044
78,TKT100038,resolved,2024-03-20 20:13:00,AGT044
79,TKT100039,opened,2024-03-01 11:36:00,AGT093
80,TKT100039,resolved,2024-03-01 12:50:00,AGT093
81,TKT100040,opened,2024-03-26 22:51:00,AGT016
82,TKT100040,resolved,2024-03-27 00:22:00,AGT016
83,TKT100041,opened,2024-02-07 17:57:00,AGT041
84,TKT100041,resolved,2024-02-07 19:17:00,AGT041
85,TKT100042,opened,2024-02-14 17:45:00,AGT085
86,TKT100042,resolved,2024-02-14 20:20:00,AGT085
87,TKT100043,opened,2024-07-09 09:18:00,AGT058
88,TKT100043,resolved,2024-07-09 11:14:00,AGT058
89,TKT100044,opened,2024-02-12 22:28:00,AGT010
90,TKT100044,resolved,2024-02-12 22:49:00,AGT010
91,TKT100045,opened,2024-07-09 21:02:00,AGT039
92,TKT100045,resolved,2024-07-09 23:49:00,AGT039
93,TKT100046,opened,2024-11-17 22:58:00,AGT076
94,TKT100046,resolved,2024-11-18 01:15:00,AGT076
95,TKT100047,opened,2024-11-24 16:29:00,AGT054
96,TKT100047,resolved,2024-11-24 16:53:00,AGT054
97,TKT100048,opened,2024-09-24 06:47:00,AGT063
98,TKT100048,resolved,2024-09-24 08:29:00,AGT063
99,TKT100049,opened,2024-02-28 12:24:00,AGT079
100,TKT100049,resolved,2024-02-28 14:54:00,AGT079
101,TKT100050,opened,2024-08-18 14:50:00,AGT059
102,TKT100050,resolved,2024-08-18 15:42:00,AGT059
103,TKT100051,opened,2024-01-18 05:17:00,AGT074
104,TKT100051,resolved,2024-01-18 05:59:00,AGT074
105,TKT100052,opened,2024-02-12 11:16:00,AGT057
106,TKT100052,resolved,2024-02-12 11:46:00,AGT057
107,TKT100053,opened,2024-05-30 12:37:00,AGT018
108,TKT100053,resolved,2024-05-30 14:21:00,AGT018
109,TKT100054,opened,2024-04-11 02:24:00,AGT026
110,TKT100054,resolved,2024-04-11 03:16:00,AGT026
111,TKT100055,opened,2024-08-11 07:21:00,AGT068
112,TKT100055,resolved,2024-08-11 09:54:00,AGT068
113,TKT100056,opened,2024-04-10 20:10:00,AGT070
114,TKT100056,resolved,2024-04-10 22:37:00,AGT070
115,TKT100057,opened,2024-03-19 01:48:00,AGT074
116,TKT100057,resolved,2024-03-19 04:44:00,AGT074
117,TKT100058,opened,2024-11-04 08:01:00,AGT031
118,TKT100058,resolved,2024-11-04 10:29:00,AGT031
119,TKT100059,opened,2024-04-05 05:04:00,AGT017
120,TKT100059,resolved,2024-04-05 06:44:00,AGT017
121,TKT100060,opened,2024-07-07 11:37:00,AGT067
122,TKT100060,resolved,2024-07-07 11:51:00,AGT067
123,TKT100061,opened,2024-03-05 08:46:00,AGT014
124,TKT100061,resolved,2024-03-05 10:38:00,AGT014
125,TKT100062,opened,2024-01-16 04:12:00,AGT080
126,TKT100062,resolved,2024-01-16 05:34:00,AGT080
127,TKT100063,opened,2024-06-27 04:58:00,AGT066
128,TKT100063,resolved,2024-06-27 05:11:00,AGT066
129,TKT100064,opened,2024-10-01 06:42:00,AGT003
130,TKT100064,resolved,2024-10-01 07:40:00,AGT003
131,TKT100065,opened,2024-02-06 17:58:00,AGT077
132,TKT100065,resolved,2024-02-06 20:56:00,AGT077
133,TKT100066,opened,2024-11-19 18:20:00,AGT007
134,TKT100066,resolved,2024-11-19 19:06:00,AGT007
135,TKT100067,opened,2024-06-24 18:55:00,AGT098
136,TKT100067,resolved,2024-06-24 19:35:00,AGT098
137,TKT100068,opened,2024-01-03 22:21:00,AGT062
138,TKT100068,resolved,2024-01-04 00:52:00,AGT062
139,TKT100069,opened,2024-01-01 15:15:00,AGT056
140,TKT100069,resolved,2024-01-01 16:29:00,AGT056
