ticket_id,order_id,customer_id,driver_id,restaurant_id,issue_type,issue_sub_type,channel,opened_datetime,resolved_datetime,status,csat_score,compensation_amount,resolved_by_agent_id
TKT100000,ORD472173,CUST0477,DRV152,REST047,payment,refund,email,2024-10-04 16:38:00,2024-10-04 18:44:00,resolved,2,0,AGT071
TKT100001,ORD457387,CUST0036,DRV052,REST083,food,cold,in_app,2024-08-07 23:35:00,2024-08-08 00:41:00,resolved,5,50,AGT036
TKT100002,ORD475078,CUST0380,DRV037,REST041,delivery,not_delivered,email,2024-10-14 06:39:00,2024-10-14 07:34:00,resolved,1,0,AGT041
TKT100003,ORD457299,CUST0221,DRV022,REST052,rider,rude,call,2024-08-07 14:06:00,2024-08-07 15:24:00,resolved,2,50,AGT081
TKT100004,ORD408777,CUST0208,DRV138,REST034,payment,overcharged,email,2024-02-03 08:59:00,2024-02-03 11:59:00,resolved,3,0,AGT051
TKT100005,ORD419440,CUST0289,DRV158,REST014,rider,rude,email,2024-03-13 14:41:00,2024-03-13 16:12:00,resolved,2,100,AGT034
TKT100006,ORD405928,CUST0086,DRV116,REST046,payment,refund,in_app,2024-01-22 02:16:00,2024-01-22 04:16:00,resolved,2,50,AGT060
TKT100007,ORD459427,CUST0277,DRV072,REST093,food,cold,email,2024-08-14 22:17:00,2024-08-15 01:00:00,resolved,4,0,AGT079
TKT100008,ORD412173,CUST0261,DRV081,REST040,rider,rude,call,2024-02-14 01:09:00,2024-02-14 04:03:00,resolved,4,0,AGT094
TKT100009,ORD400980,CUST0185,DRV179,REST007,delivery,not_delivered,in_app,2024-01-04 01:36:00,2024-01-04 03:03:00,resolved,2,0,AGT026
TKT100010,ORD458783,CUST0160,DRV091,REST004,food,wrong_item,call,2024-08-12 07:29:00,2024-08-12 08:10:00,resolved,1,100,AGT044
TKT100011,ORD405343,CUST0047,DRV077,REST097,food,wrong_item,in_app,2024-01-19 22:31:00,2024-01-20 01:21:00,resolved,4,100,AGT018
TKT100012,ORD473995,CUST0388,DRV087,REST026,rider,rude,in_app,2024-10-10 22:35:00,2024-10-11 00:42:00,resolved,2,0,AGT099
TKT100013,ORD476824,CUST0023,DRV026,REST033,rider,rude,email,2024-10-23 19:40:00,2024-10-23 21:19:00,resolved,5,0,AGT065
TKT100014,ORD447468,CUST0407,DRV158,REST063,payment,overcharged,call,2024-07-01 23:32:00,2024-07-02 00:16:00,resolved,4,0,AGT041
TKT100015,ORD413694,CUST0112,DRV081,REST082,delivery,not_delivered,in_app,2024-02-21 18:49:00,2024-02-21 21:29:00,resolved,1,0,AGT042
TKT100016,ORD412789,CUST0379,DRV167,REST055,rider,no_mask,call,2024-02-17 04:57:00,2024-02-17 06:33:00,resolved,3,50,AGT047
TKT100017,ORD410577,CUST0317,DRV077,REST084,rider,no_mask,in_app,2024-02-09 11:40:00,2024-02-09 13:13:00,resolved,5,50,AGT091
TKT100018,ORD468691,CUST0120,DRV174,REST087,rider,rude,in_app,2024-09-20 13:34:00,2024-09-20 14:11:00,resolved,2,0,AGT072
TKT100019,ORD445919,CUST0235,DRV017,REST077,food,wrong_item,email,2024-06-24 20:54:00,2024-06-24 21:33:00,resolved,3,0,AGT068
TKT100020,ORD449528,CUST0028,DRV162,REST023,payment,refund,call,2024-07-07 02:42:00,2024-07-07 02:52:00,resolved,1,50,AGT035
TKT100021,ORD474304,CUST0411,DRV133,REST003,food,wrong_item,email,2024-10-11 14:33:00,2024-10-11 16:03:00,resolved,2,0,AGT003
TKT100022,ORD444571,CUST0395,DRV051,REST005,food,wrong_item,in_app,2024-06-18 21:47:00,2024-06-18 23:54:00,resolved,2,50,AGT058
TKT100023,ORD471252,CUST0111,DRV068,REST045,delivery,late,call,2024-10-01 23:53:00,2024-10-02 02:29:00,resolved,3,100,AGT089
TKT100024,ORD485742,CUST0254,DRV148,REST038,rider,no_mask,call,2024-11-26 21:31:00,2024-11-26 22:02:00,resolved,5,0,AGT093
TKT100025,ORD491734,CUST0274,DRV093,REST034,payment,refund,email,2024-12-19 20:01:00,2024-12-19 20:21:00,resolved,2,100,AGT026
TKT100026,ORD406071,CUST0412,DRV018,REST069,rider,rude,email,2024-01-22 21:49:00,2024-01-22 23:55:00,resolved,3,100,AGT043
TKT100027,ORD407969,CUST0091,DRV081,REST075,delivery,not_delivered,call,2024-01-31 22:33:00,2024-01-31 23:46:00,resolved,2,0,AGT090
TKT100028,ORD441223,CUST0024,DRV134,REST051,delivery,not_delivered,email,2024-06-06 23:17:00,2024-06-07 00:34:00,resolved,3,0,AGT081
TKT100029,ORD425417,CUST0266,DRV036,REST003,rider,no_mask,call,2024-04-06 04:53:00,2024-04-06 06:18:00,resolved,4,50,AGT056
TKT100030,ORD443295,CUST0260,DRV065,REST097,rider,no_mask,in_app,2024-06-13 22:21:00,2024-06-14 00:05:00,resolved,5,100,AGT029
TKT100031,ORD473557,CUST0306,DRV052,REST025,delivery,not_delivered,email,2024-10-09 02:37:00,2024-10-09 03:57:00,resolved,5,0,AGT010
TKT100032,ORD488318,CUST0113,DRV112,REST034,delivery,late,in_app,2024-12-05 06:02:00,2024-12-05 07:47:00,resolved,2,50,AGT077
TKT100033,ORD403502,CUST0387,DRV038,REST075,rider,no_mask,call,2024-01-12 20:30:00,2024-01-12 21:22:00,resolved,2,0,AGT076
TKT100034,ORD457416,CUST0311,DRV044,REST036,delivery,late,email,2024-08-07 16:25:00,2024-08-07 19:00:00,resolved,3,0,AGT084
TKT100035,ORD418373,CUST0295,DRV129,REST067,rider,rude,in_app,2024-03-09 13:03:00,2024-03-09 14:29:00,resolved,1,50,AGT046
TKT100036,ORD409030,CUST0382,DRV011,REST067,delivery,late,call,2024-02-04 19:12:00,2024-02-04 19:39:00,resolved,5,100,AGT013
TKT100037,ORD490226,CUST0053,DRV063,REST015,delivery,not_delivered,in_app,2024-12-12 06:07:00,2024-12-12 07:01:00,resolved,3,100,AGT050
TKT100038,ORD421243,CUST0117,DRV182,REST076,delivery,late,call,2024-03-20 18:15:00,2024-03-20 20:13:00,resolved,3,0,AGT044
TKT100039,ORD415842,CUST0352,DRV084,REST034,rider,no_mask,call,2024-03-01 11:36:00,2024-03-01 12:50:00,resolved,1,50,AGT093
TKT100040,ORD422531,CUST0054,DRV176,REST015,payment,overcharged,email,2024-03-26 22:51:00,2024-03-27 00:22:00,resolved,3,100,AGT016
TKT100041,ORD410182,CUST0463,DRV087,REST011,payment,overcharged,call,2024-02-07 17:57:00,2024-02-07 19:17:00,resolved,4,0,AGT041
TKT100042,ORD412162,CUST0209,DRV150,REST042,delivery,not_delivered,in_app,2024-02-14 17:45:00,2024-02-14 20:20:00,resolved,3,0,AGT085
TKT100043,ORD449938,CUST0316,DRV125,REST053,delivery,late,call,2024-07-09 09:18:00,2024-07-09 11:14:00,resolved,2,100,AGT058
TKT100044,ORD411597,CUST0202,DRV125,REST078,payment,refund,email,2024-02-12 22:28:00,2024-02-12 22:49:00,resolved,2,100,AGT010
TKT100045,ORD450143,CUST0221,DRV133,REST005,delivery,not_delivered,email,2024-07-09 21:02:00,2024-07-09 23:49:00,resolved,3,0,AGT039
TKT100046,ORD483722,CUST0192,DRV089,REST062,food,cold,email,2024-11-17 22:58:00,2024-11-18 01:15:00,resolved,1,0,AGT076
TKT100047,ORD485136,CUST0369,DRV189,REST083,delivery,not_delivered,call,2024-11-24 16:29:00,2024-11-24 16:53:00,resolved,1,0,AGT054
TKT100048,ORD469525,CUST0170,DRV192,REST095,rider,rude,call,2024-09-24 06:47:00,2024-09-24 08:29:00,resolved,5,0,AGT063
TKT100049,ORD415371,CUST0332,DRV098,REST054,rider,no_mask,call,2024-02-28 12:24:00,2024-02-28 14:54:00,resolved,3,100,AGT079
TKT100050,ORD460239,CUST0491,DRV200,REST033,payment,overcharged,call,2024-08-18 14:50:00,2024-08-18 15:42:00,resolved,3,100,AGT059
TKT100051,ORD405052,CUST0262,DRV129,REST095,payment,refund,email,2024-01-18 05:17:00,2024-01-18 05:59:00,resolved,3,0,AGT074
TKT100052,ORD411657,CUST0313,DRV087,REST087,delivery,not_delivered,in_app,2024-02-12 11:16:00,2024-02-12 11:46:00,resolved,3,100,AGT057
TKT100053,ORD439256,CUST0211,DRV060,REST091,food,cold,in_app,2024-05-30 12:37:00,2024-05-30 14:21:00,resolved,5,50,AGT018
TKT100054,ORD426829,CUST0215,DRV088,REST089,food,wrong_item,email,2024-04-11 02:24:00,2024-04-11 03:16:00,resolved,1,0,AGT026
TKT100055,ORD458469,CUST0491,DRV053,REST082,rider,rude,in_app,2024-08-11 07:21:00,2024-08-11 09:54:00,resolved,4,0,AGT068
TKT100056,ORD426632,CUST0074,DRV052,REST078,payment,refund,call,2024-04-10 20:10:00,2024-04-10 22:37:00,resolved,1,0,AGT070
TKT100057,ORD420921,CUST0035,DRV161,REST045,delivery,late,call,2024-03-19 01:48:00,2024-03-19 04:44:00,resolved,1,100,AGT074
TKT100058,ORD480241,CUST0258,DRV033,REST026,food,wrong_item,call,2024-11-04 08:01:00,2024-11-04 10:29:00,resolved,1,100,AGT031
TKT100059,ORD425138,CUST0318,DRV115,REST098,payment,overcharged,in_app,2024-04-05 05:04:00,2024-04-05 06:44:00,resolved,2,0,AGT017
TKT100060,ORD449324,CUST0130,DRV054,REST044,payment,refund,call,2024-07-07 11:37:00,2024-07-07 11:51:00,resolved,3,50,AGT067
TKT100061,ORD416986,CUST0205,DRV008,REST070,rider,rude,call,2024-03-05 08:46:00,2024-03-05 10:38:00,resolved,5,0,AGT014
TKT100062,ORD404492,CUST0425,DRV020,REST061,rider,no_mask,email,2024-01-16 04:12:00,2024-01-16 05:34:00,resolved,5,0,AGT080
TKT100063,ORD446643,CUST0238,DRV029,REST073,rider,no_mask,email,2024-06-27 04:58:00,2024-06-27 05:11:00,resolved,3,100,AGT066
TKT100064,ORD471323,CUST0443,DRV076,REST040,payment,refund,in_app,2024-10-01 06:42:00,2024-10-01 07:40:00,resolved,5,0,AGT003
TKT100065,ORD409830,CUST0282,DRV029,REST009,rider,no_mask,in_app,2024-02-06 17:58:00,2024-02-06 20:56:00,resolved,1,50,AGT077
